DBN,SCHOOL NAME,Num of SAT Test Takers,SAT Critical Reading Avg. Score,SAT Math Avg. Score,SAT Writing Avg. Score,SAT Overall Avg
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,29,355,404,363,374.0
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,91,383,423,366,390.7
01M450,EAST SIDE COMMUNITY SCHOOL,70,377,402,370,383.0
01M458,FORSYTH SATELLITE ACADEMY,7,414,401,359,391.3
01M509,MARTA VALLE HIGH SCHOOL,44,390,433,384,402.3
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,112,332,557,316,401.7
01M539,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",159,522,574,525,540.3
01M650,CASCADES HIGH SCHOOL,18,417,418,411,415.3
01M696,BARD HIGH SCHOOL EARLY COLLEGE,130,624,604,628,618.7
02M047,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL,16,395,400,387,394.0
02M288,FOOD AND FINANCE HIGH SCHOOL,62,409,393,392,398.0
02M294,ESSEX STREET ACADEMY,53,394,384,378,385.3
02M296,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,58,374,375,362,370.3
02M298,PACE HIGH SCHOOL,85,423,438,432,431.0
02M300,"URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION, THE",48,404,449,416,423.0
02M303,"FACING HISTORY SCHOOL, THE",76,353,358,340,350.3
02M305,"URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW, THE",50,375,388,385,382.7
02M308,LOWER MANHATTAN ARTS ACADEMY,40,403,392,405,400.0
02M313,"JAMES BALDWIN SCHOOL, THE: A SCHOOL FOR EXPEDITIONARY LEARNING",69,408,390,390,396.0
02M316,"URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN, THE",42,373,370,384,375.7
02M374,GRAMERCY ARTS HIGH SCHOOL,60,391,391,394,392.0
02M376,NYC ISCHOOL,92,473,483,479,478.3
02M392,MANHATTAN BUSINESS ACADEMY,,,,,#DIV/0!
02M393,BUSINESS OF SPORTS SCHOOL,,,,,#DIV/0!
02M394,EMMA LAZARUS HIGH SCHOOL,79,319,512,357,396.0
02M399,THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,,,,,#DIV/0!
02M400,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,263,465,493,461,473.0
02M407,INSTITUTE FOR COLLABORATIVE EDUCATION,54,492,465,467,474.7
02M408,PROFESSIONAL PERFORMING ARTS HIGH SCHOOL,94,509,490,523,507.3
02M411,BARUCH COLLEGE CAMPUS HIGH SCHOOL,104,496,563,518,525.7
